fpr,tpr,thresholds
0.556,0.566,3.894247659329729e-06
0.556,0.568,3.8839012816748744e-06
0.558,0.568,3.879397608357069e-06
0.558,0.572,3.8719453483796375e-06
0.562,0.572,3.865464585392128e-06
0.562,0.576,3.8557404407808944e-06
0.566,0.576,3.836110582081265e-06
0.566,0.58,3.8020661196624196e-06
0.57,0.58,3.776355441926113e-06
0.57,0.582,3.7637048345292055e-06
0.572,0.582,3.7622707441269293e-06
0.572,0.586,3.7506014348274166e-06
0.574,0.586,3.750213927738226e-06
0.574,0.594,3.7249538868042698e-06
0.578,0.594,3.7050528310457864e-06
0.578,0.598,3.685618153878919e-06
0.58,0.598,3.676454630127267e-06
0.58,0.6,3.6563143743781497e-06
0.582,0.6,3.652230210020051e-06
0.582,0.604,3.626105149887547e-06
0.586,0.604,3.5539710436030505e-06
0.586,0.606,3.5536294968279205e-06
0.588,0.606,3.5334851067836043e-06
0.588,0.608,3.5304133030026302e-06
0.59,0.608,3.52767465036209e-06
0.59,0.618,3.4674491479738737e-06
0.594,0.618,3.4604621240433905e-06
0.594,0.62,3.45325815141492e-06
0.596,0.62,3.431318129311002e-06
0.596,0.622,3.4144900889209308e-06
0.604,0.622,3.392082985167381e-06
0.604,0.624,3.375811578452889e-06
0.608,0.624,3.353918403369416e-06
0.608,0.626,3.341855435373702e-06
0.61,0.626,3.3219792618017423e-06
0.61,0.63,3.3123991758779597e-06
0.618,0.63,3.2465240827702956e-06
0.618,0.636,3.2046125489544778e-06
0.62,0.636,3.1866975998409544e-06
0.62,0.644,3.159499194053762e-06
0.622,0.644,3.152604274132298e-06
0.622,0.65,3.1068235024724525e-06
0.632,0.65,3.0095518969976756e-06
0.632,0.652,3.0024648194404974e-06
0.634,0.652,2.9964018774103796e-06
0.634,0.654,2.991938727195532e-06
0.638,0.654,2.9795183342829757e-06
0.638,0.66,2.9702258119872805e-06
0.646,0.66,2.9285188548917563e-06
0.646,0.668,2.907780493692956e-06
0.652,0.668,2.8916091738601083e-06
0.652,0.67,2.874922080550826e-06
0.668,0.67,2.8371343974440173e-06
0.668,0.674,2.8238286614785614e-06
0.67,0.674,2.820329474436047e-06
0.67,0.676,2.8150018446665472e-06
0.672,0.676,2.8138620723475134e-06
0.672,0.684,2.7932486331898094e-06
0.674,0.684,2.792114184234946e-06
0.674,0.692,2.7595989784712744e-06
0.676,0.692,2.749657335687287e-06
0.676,0.698,2.721120371340526e-06
0.68,0.698,2.7010854862467593e-06
0.68,0.7,2.6943468254790608e-06
0.682,0.7,2.686107380759785e-06
0.682,0.702,2.6859154159260015e-06
0.684,0.702,2.68181233422104e-06
0.684,0.712,2.645033912457947e-06
0.686,0.712,2.644971693522279e-06
0.686,0.716,2.6406495302750672e-06
0.698,0.716,2.614084377552576e-06
0.698,0.718,2.61257997318814e-06
0.7,0.718,2.611586674244541e-06
0.7,0.72,2.605978885568328e-06
0.702,0.72,2.603164883609093e-06
0.702,0.722,2.598840060869857e-06
0.706,0.722,2.5952695479409953e-06
0.706,0.726,2.5824351097774397e-06
0.708,0.726,2.576788776165949e-06
0.708,0.728,2.573674063075347e-06
0.712,0.728,2.5576852663025477e-06
0.712,0.732,2.549915122372398e-06
0.716,0.732,2.545394402320399e-06
0.716,0.734,2.543766461276242e-06
0.72,0.734,2.534420779763265e-06
0.72,0.738,2.5211774476155606e-06
0.722,0.738,2.5142876750466487e-06
0.722,0.742,2.4993757429359333e-06
0.724,0.742,2.49923951869074e-06
0.724,0.744,2.494765818736779e-06
0.734,0.744,2.483571015901337e-06
0.734,0.75,2.4703154647557927e-06
0.738,0.75,2.4688013855010816e-06
0.738,0.756,2.464429980880375e-06
0.742,0.756,2.4502192885194357e-06
0.742,0.758,2.4415057489540487e-06
0.746,0.758,2.4374020263863996e-06
0.746,0.76,2.4366135410020257e-06
0.748,0.76,2.4343605308696404e-06
0.748,0.762,2.4297721028142717e-06
0.752,0.762,2.417233417612041e-06
0.752,0.766,2.411341841892923e-06
0.766,0.766,2.391500563328325e-06
0.766,0.768,2.3913716086318743e-06
0.774,0.768,2.3733694944142378e-06
0.774,0.77,2.3697148996211757e-06
0.778,0.77,2.3666585251317042e-06
0.778,0.78,2.3481613597832212e-06
0.784,0.78,2.3463302457115604e-06
0.784,0.782,2.341524917571373e-06
0.786,0.782,2.3409829141911857e-06
0.786,0.788,2.334737369281687e-06
0.792,0.788,2.3257847945902396e-06
0.792,0.79,2.324261956742921e-06
0.794,0.79,2.3227864369308726e-06
0.794,0.796,2.31734434381228e-06
0.796,0.796,2.316542386234259e-06
0.796,0.804,2.3145674262204264e-06
0.798,0.804,2.3137603730166894e-06
0.798,0.81,2.311582029023595e-06
0.806,0.81,2.3061562625128738e-06
0.806,0.814,2.3047163061472522e-06
0.81,0.814,2.299784328057121e-06
0.81,0.818,2.297546603451651e-06
0.824,0.818,2.2923940290112064e-06
0.824,0.822,2.2921120186618468e-06
0.828,0.822,2.290246991998171e-06
0.828,0.824,2.290187311387239e-06
0.83,0.824,2.2900159847083407e-06
0.83,0.828,2.2899227204290494e-06
0.834,0.828,2.289630635269065e-06
0.834,0.83,2.289481288961753e-06
0.836,0.83,2.2894347983155256e-06
0.836,0.832,2.289248980220444e-06
0.838,0.832,2.289238225374559e-06
0.838,0.84,2.2890727314617737e-06
0.84,0.84,2.2890449743162905e-06
0.84,0.842,2.28904059111178e-06
0.844,0.842,2.028613313511612e-06
0.844,0.846,1.7751568053562465e-06
0.846,0.846,1.649337998300837e-06
0.846,0.85,1.376424214653116e-06
0.848,0.85,1.318141127653244e-06
0.848,0.86,5.345688110500591e-07
0.85,0.86,1.3094346179866275e-07
1.0,1.0,7.025012374611961e-09
