ligand_type,r_max,var_rate,ratio
nag,50,0.0002573415734252,10
nag,50,0.0006031928676216,10
nag,50,4.945339204777023e-06,10
nag,50,0.0001903500411003,10
nag,50,0.000106829500956,10
nag,50,0.0001570882643691,10
nag,50,0.0009358284570321,10
nag,50,0.0001670918959363,10
nag,50,0.0004333660750291,10
nag,50,9.2391223015512e-05,10
nag,50,0.0003025918671504,10
nag,50,0.0002541858631679,10
nag,50,0.0001004366630868,10
nag,50,9.453642942912778e-06,10
nag,50,0.0,10
nag,50,0.0001508771589533,10
nag,50,1.9605815332562495e-05,10
nag,50,0.0004943671961069,10
nag,50,4.095089373189529e-05,10
nag,50,2.711248735032081e-05,10
nag,50,0.0007630509174214,10
nag,50,0.0002440540803672,10
nag,50,9.734910383454516e-05,10
nag,50,3.039434678654046e-05,10
nag,50,3.967428142111131e-05,10
