class,n,n_zero_dropped,n_unique,gamma_params,gamma_ks,gamma_p,lognorm_params,lognorm_ks,lognorm_p,weibull_params,weibull_ks,weibull_p,loglogistic_params,loglogistic_ks,loglogistic_p,pareto_params,pareto_ks,pareto_p,seed,class_
bg,1000,0,1000,"(10.930527364716314, 0, np.float64(3.13348416692441e-08))",0.018000279043726475,0.8962839674679135,"(np.float64(0.3114373211711906), 0, np.float64(3.269639198278439e-07))",0.03418178900943625,0.18874455828099002,"(np.float64(3.5677150060117624), 0, np.float64(3.7992903024021994e-07))",0.04944742271286118,0.014530476444552569,"(np.float64(0.10855804001630143), 0, np.float64(3.2759001124234796e-07))",0.47895353478243563,2.023538170542437e-211,"(np.float64(0.10855804001630143), 0, np.float64(3.2759001124234796e-07))",0.423976780175966,1.42076463431047e-163,8,bg
ag,1000,7,993,"(1.0007718718368803, 0, np.float64(0.0012830839175360584))",0.051852546816156364,0.009249586188874257,"(np.float64(1.1808787558158016), 0, np.float64(0.0007213143741739243))",0.04708670549705951,0.02368950350482445,"(np.float64(0.9670366436789035), 0, np.float64(0.0012635899139950583))",0.044574419140114174,0.0375008427316228,"(np.float64(1.5082648857739165), 0, np.float64(0.000766816564733302))",0.0309565116744428,0.2911912324254977,"(np.float64(1.5082648857739165), 0, np.float64(0.000766816564733302))",0.3661001545217333,7.978784402636188e-120,9,ag
nag,1000,227,773,"(0.9000050914137846, 0, np.float64(1.8761655107058908e-06))",0.02854331048653863,0.5449564653659426,"(np.float64(1.4125115439251452), 0, np.float64(8.818907564676351e-07))",0.09628006334031797,1.0915247652835341e-06,"(np.float64(0.944683880107712), 0, np.float64(1.6467248210386306e-06))",0.026229956123104303,0.6521751803830154,"(np.float64(1.3263096989330598), 0, np.float64(1.0249738071021449e-06))",0.06055353877988634,0.006610975404882881,"(np.float64(1.3263096989330598), 0, np.float64(1.0249738071021449e-06))",0.4193007639235713,1.1474274860649796e-123,9,nag
bg,1000,0,1000,"(9.865836933710078, 0, np.float64(3.501296936701917e-08))",0.029041564979894963,0.36096818063115355,"(np.float64(0.328828697552087), 0, np.float64(3.2808125504334253e-07))",0.049171499803488894,0.015346721409728916,"(np.float64(3.4235724801159555), 0, np.float64(3.841950142693434e-07))",0.03396923139500474,0.19430718080840192,"(np.float64(0.10855803997369995), 0, np.float64(3.2777204422431463e-07))",0.478212405264705,9.994842992567982e-211,"(np.float64(0.10855803997369995), 0, np.float64(3.2777204422431463e-07))",0.38045938704087856,1.2482585102306857e-130,9,bg
ag,1000,7,993,"(0.9963576298460002, 0, np.float64(0.0012795808715421748))",0.04517508011526167,0.03367746036384456,"(np.float64(1.189879069498377), 0, np.float64(0.0007141297978526398))",0.056387364219628366,0.003475253885370948,"(np.float64(0.95872217153996), 0, np.float64(0.0012486020364628461))",0.041864279530957865,0.05984023170768138,"(np.float64(1.5254431205324945), 0, np.float64(0.0007686923630062392))",0.036468495339658125,0.13904208315786704,"(np.float64(1.5254431205324945), 0, np.float64(0.0007686923630062392))",0.3730047322389194,1.5796715797425565e-124,10,ag
nag,1000,207,793,"(0.9112717660547156, 0, np.float64(1.954023913411294e-06))",0.041171371035930826,0.13222420274814928,"(np.float64(1.4252340182573051), 0, np.float64(9.384113944824118e-07))",0.1095421283124004,9.64307570840419e-09,"(np.float64(0.9605641561595009), 0, np.float64(1.7506444476325788e-06))",0.04092702130753312,0.13651908752036845,"(np.float64(1.3184442963130332), 0, np.float64(1.1080915818343976e-06))",0.07074549209518743,0.0006765416599669637,"(np.float64(1.3184442963130332), 0, np.float64(1.1080915818343976e-06))",0.4251023321440563,1.5314762546165635e-130,10,nag
bg,1000,0,1000,"(10.844427825277888, 0, np.float64(3.23306123019821e-08))",0.025060426671718705,0.5479090383791911,"(np.float64(0.3124777502476405), 0, np.float64(3.3457172440110405e-07))",0.03668846931981612,0.1321390942764269,"(np.float64(3.5130344460819574), 0, np.float64(3.8901704347677906e-07))",0.06535766088862083,0.000370761496065544,"(np.float64(0.10855804054459828), 0, np.float64(3.3291302274409487e-07))",0.4787198154490929,3.3497355973794595e-211,"(np.float64(0.10855804054459828), 0, np.float64(3.3291302274409487e-07))",0.41671865365972843,8.719046463082309e-158,10,bg
ag,1000,9,991,"(0.974566729528942, 0, np.float64(0.0014075092769025238))",0.05167253081165524,0.00970297919920768,"(np.float64(1.2140357000630067), 0, np.float64(0.0007572772465998258))",0.05002023257394145,0.013556617920534761,"(np.float64(0.9543838213850673), 0, np.float64(0.0013411312133039255))",0.042315456914831406,0.055872723664343704,"(np.float64(1.4828297735634242), 0, np.float64(0.0008104300558037439))",0.03034637819502739,0.3146754654832725,"(np.float64(1.4828297735634242), 0, np.float64(0.0008104300558037439))",0.39016715743545416,2.2013538349058127e-136,11,ag
nag,1000,209,791,"(0.9009480703009275, 0, np.float64(1.8307755247148372e-06))",0.029793044425189874,0.4748174473470872,"(np.float64(1.4209929334176714), 0, np.float64(8.621155027414817e-07))",0.10489180189687625,4.9538055583119726e-08,"(np.float64(0.9456909722786391), 0, np.float64(1.6095749736272075e-06))",0.02906434734892438,0.5067720571507162,"(np.float64(1.327442345227358), 0, np.float64(1.0063152451474474e-06))",0.06357542685992312,0.0031909948556622845,"(np.float64(1.327442345227358), 0, np.float64(1.0063152451474474e-06))",0.4145153921250708,1.5176682953540044e-123,11,nag
bg,1000,0,1000,"(10.352217920156706, 0, np.float64(3.297017936180881e-08))",0.016364972440888637,0.9475841650253524,"(np.float64(0.31994937864827416), 0, np.float64(3.249686080921027e-07))",0.02928010630516842,0.3511753617958,"(np.float64(3.4195446064208497), 0, np.float64(3.792129984388941e-07))",0.047733250329123164,0.02030441805206816,"(np.float64(0.10855803994233604), 0, np.float64(3.244784813559325e-07))",0.47784199250484183,2.217951245828339e-210,"(np.float64(0.10855803994233604), 0, np.float64(3.244784813559325e-07))",0.4193102736064977,7.718365956428033e-160,11,bg
